id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
650,12/05/2017 12:30:48 PM,12/05/2017 12:37:26 PM,1,0.82,1,N,231,261,1,6,0,0.5,1.7,0,0.3,8.5
651,12/05/2017 12:49:25 PM,12/05/2017 01:03:17 PM,1,1.13,1,N,261,144,2,9.5,0,0.5,0,0,0.3,10.3
652,12/05/2017 11:58:08 AM,12/05/2017 12:06:17 PM,1,0.45,1,N,164,170,1,6.5,0,0.5,2,0,0.3,9.3
653,12/05/2017 12:09:39 PM,12/05/2017 12:36:32 PM,1,2.93,1,N,170,236,2,18,0,0.5,0,0,0.3,18.8
654,12/05/2017 12:11:35 PM,12/05/2017 12:18:19 PM,1,2,1,N,238,166,1,8,0,0.5,1.75,0,0.3,10.55
655,12/05/2017 12:23:43 PM,12/05/2017 12:27:13 PM,1,0.4,1,N,166,24,1,4.5,0,0.5,1.05,0,0.3,6.35
656,12/05/2017 12:30:56 PM,12/05/2017 01:05:47 PM,2,5.2,1,N,24,100,2,25.5,0,0.5,0,0,0.3,26.3
657,12/05/2017 12:25:36 PM,12/05/2017 12:51:50 PM,1,1.5,1,N,246,230,2,16,0,0.5,0,0,0.3,16.8
658,12/05/2017 12:55:25 PM,12/05/2017 01:10:25 PM,1,0.9,1,N,161,237,2,10,0,0.5,0,0,0.3,10.8
659,12/05/2017 12:25:23 PM,12/05/2017 12:33:59 PM,1,0.7,1,N,161,162,2,6.5,0,0.5,0,0,0.3,7.3
660,12/05/2017 12:37:27 PM,12/05/2017 12:47:59 PM,1,1,1,N,162,237,3,8,0,0.5,0,0,0.3,8.8
661,12/05/2017 12:57:23 PM,12/05/2017 01:01:56 PM,1,0.8,1,N,226,146,2,5.5,0,0.5,0,0,0.3,6.3
662,12/05/2017 12:10:25 PM,12/05/2017 12:27:47 PM,1,2.04,1,N,161,224,2,12,0,0.5,0,0,0.3,12.8
663,12/05/2017 12:04:12 PM,12/05/2017 12:07:08 PM,3,0.37,1,N,229,141,2,4,0,0.5,0,0,0.3,4.8
664,12/05/2017 12:08:18 PM,12/05/2017 12:13:34 PM,3,0.35,1,N,141,237,1,5,0,0.5,1,0,0.3,6.8
665,12/05/2017 12:26:35 PM,12/05/2017 12:31:51 PM,2,0.84,1,N,141,262,2,5.5,0,0.5,0,0,0.3,6.3
666,12/05/2017 12:07:18 PM,12/05/2017 12:27:19 PM,1,3.38,1,N,90,13,1,16,0,0.5,3.36,0,0.3,20.16
667,12/05/2017 12:05:26 PM,12/05/2017 12:25:48 PM,2,1.12,1,N,68,186,1,13,0,0.5,3.45,0,0.3,17.25
668,12/05/2017 12:38:52 PM,12/05/2017 12:40:53 PM,2,0.32,1,N,186,186,2,3.5,0,0.5,0,0,0.3,4.3
669,12/05/2017 12:42:12 PM,12/05/2017 12:45:44 PM,1,0.83,1,N,186,68,2,5,0,0.5,0,0,0.3,5.8
670,12/05/2017 12:57:40 PM,12/05/2017 01:29:21 PM,2,4.28,1,N,90,217,2,22.5,0,0.5,0,0,0.3,23.3
671,12/05/2017 12:15:51 PM,12/05/2017 01:07:47 PM,1,10.7,1,N,138,163,1,42,0,0.5,12.14,5.76,0.3,60.7
672,12/05/2017 12:20:07 PM,12/05/2017 12:56:52 PM,1,4.93,1,N,87,230,1,24.5,0,0.5,4,0,0.3,29.3
673,12/05/2017 12:58:29 PM,12/05/2017 01:27:30 PM,1,2.99,1,N,48,144,1,18.5,0,0.5,3.86,0,0.3,23.16
674,12/05/2017 12:21:51 PM,12/05/2017 12:28:19 PM,1,1.1,1,N,186,158,1,6.5,0,0.5,1.46,0,0.3,8.76
675,12/05/2017 12:11:07 PM,12/05/2017 12:18:03 PM,1,0.92,1,N,79,114,1,6,0,0.5,2.04,0,0.3,8.84
676,12/05/2017 12:23:23 PM,12/05/2017 12:30:58 PM,1,0.85,1,N,114,234,1,6.5,0,0.5,1.46,0,0.3,8.76
677,12/05/2017 12:34:43 PM,12/05/2017 12:44:45 PM,1,1.6,1,N,234,125,1,8.5,0,0.5,1.86,0,0.3,11.16
678,12/05/2017 12:53:24 PM,12/05/2017 12:56:26 PM,1,0.21,1,N,144,144,1,4,0,0.5,1.44,0,0.3,6.24
679,12/05/2017 12:05:02 PM,12/05/2017 12:13:19 PM,1,1.53,1,N,143,239,1,8,0,0.5,1.2,0,0.3,10
680,12/05/2017 12:49:58 PM,12/05/2017 12:54:28 PM,1,0.62,1,N,151,166,2,5,0,0.5,0,0,0.3,5.8
681,12/05/2017 12:59:54 PM,12/05/2017 01:21:56 PM,1,5.9,1,N,87,233,3,22.5,0,0.5,0,0,0.3,23.3
682,12/05/2017 12:19:47 PM,12/05/2017 01:05:54 PM,1,13.5,1,N,132,25,2,45,0,0.5,0,0,0.3,45.8
683,12/05/2017 12:09:04 PM,12/05/2017 12:20:53 PM,1,1.8,1,N,43,142,1,10,0,0.5,2.7,0,0.3,13.5
684,12/05/2017 12:33:06 PM,12/05/2017 12:51:33 PM,1,2.2,1,N,238,237,1,13,0,0.5,2.75,0,0.3,16.55
685,12/05/2017 12:54:04 PM,12/05/2017 01:03:22 PM,1,1.5,1,N,237,236,1,8.5,0,0.5,2.3,0,0.3,11.6
686,12/05/2017 12:03:56 PM,12/05/2017 12:10:11 PM,1,1.25,1,N,170,107,1,6.5,0,0.5,1.46,0,0.3,8.76
687,12/05/2017 12:15:30 PM,12/05/2017 12:19:38 PM,1,0.71,1,N,79,107,2,5,0,0.5,0,0,0.3,5.8
688,12/05/2017 12:23:49 PM,12/05/2017 12:29:26 PM,1,0.65,1,N,79,114,1,5.5,0,0.5,1,0,0.3,7.3
689,12/05/2017 12:30:58 PM,12/05/2017 12:40:42 PM,1,0.76,1,N,114,144,2,7.5,0,0.5,0,0,0.3,8.3
690,12/05/2017 12:44:43 PM,12/05/2017 12:46:21 PM,1,0.42,1,N,144,114,2,3.5,0,0.5,0,0,0.3,4.3
691,12/05/2017 12:16:30 PM,12/05/2017 12:26:28 PM,1,0.98,1,N,142,162,2,8,0,0.5,0,0,0.3,8.8
692,12/05/2017 12:28:55 PM,12/05/2017 12:40:09 PM,1,0.9,1,N,161,164,2,8.5,0,0.5,0,0,0.3,9.3
693,12/05/2017 12:54:20 PM,12/05/2017 01:02:08 PM,1,1.15,1,N,100,50,2,7,0,0.5,0,0,0.3,7.8
694,12/05/2017 12:03:55 PM,12/05/2017 12:17:01 PM,1,1.1,1,N,142,161,1,9.5,0,0.5,2.05,0,0.3,12.35
695,12/05/2017 12:22:39 PM,12/05/2017 12:30:08 PM,1,0.9,1,N,162,237,2,6.5,0,0.5,0,0,0.3,7.3
696,12/05/2017 12:31:49 PM,12/05/2017 12:36:29 PM,1,0.5,1,N,237,237,1,5,0,0.5,1.15,0,0.3,6.95
697,12/05/2017 12:37:23 PM,12/05/2017 12:59:11 PM,1,2.5,1,N,237,164,1,15,0,0.5,3.15,0,0.3,18.95
698,12/05/2017 12:10:00 PM,12/05/2017 12:20:54 PM,1,0.96,1,N,234,186,1,8.5,0,0.5,2.32,0,0.3,11.62
699,12/05/2017 12:23:59 PM,12/05/2017 12:36:06 PM,1,0.49,1,N,186,100,1,8.5,0,0.5,1.4,0,0.3,10.7
700,12/05/2017 12:38:06 PM,12/05/2017 12:48:22 PM,1,0.89,1,N,100,68,1,8,0,0.5,2,0,0.3,10.8
701,12/05/2017 12:22:18 PM,12/05/2017 12:30:09 PM,6,0.93,1,N,237,237,1,6.5,0,0.5,1.46,0,0.3,8.76
702,12/05/2017 12:50:59 PM,12/05/2017 01:40:25 PM,1,10.9,1,N,132,129,2,42.5,0,0.5,0,0,0.3,43.3
703,12/05/2017 12:18:19 PM,12/05/2017 12:29:05 PM,1,0.88,1,N,234,170,1,8,0,0.5,1.76,0,0.3,10.56
704,12/05/2017 12:42:51 PM,12/05/2017 12:49:01 PM,1,0.74,1,N,233,229,2,6,0,0.5,0,0,0.3,6.8
705,12/05/2017 12:52:34 PM,12/05/2017 01:20:29 PM,1,0.81,1,N,229,161,2,16,0,0.5,0,0,0.3,16.8
706,12/05/2017 12:24:18 PM,12/05/2017 12:48:14 PM,1,3.2,1,N,237,113,1,16.5,0,0.5,3.45,0,0.3,20.75
707,12/05/2017 12:14:07 PM,12/05/2017 12:33:30 PM,1,10.64,1,N,233,138,1,30,0,0.5,7,5.76,0.3,43.56
708,12/05/2017 12:03:12 PM,12/05/2017 12:15:17 PM,1,1.7,1,N,137,114,1,9.5,0,0.5,0.7,0,0.3,11
709,12/05/2017 12:32:32 PM,12/05/2017 12:37:25 PM,1,0.6,1,N,79,114,2,5,0,0.5,0,0,0.3,5.8
710,12/05/2017 12:39:12 PM,12/05/2017 12:53:15 PM,1,1.7,1,N,114,232,2,10.5,0,0.5,0,0,0.3,11.3
711,12/05/2017 12:03:28 PM,12/05/2017 12:43:42 PM,1,13.6,1,N,138,211,1,41.5,0,0.5,9.6,5.76,0.3,57.66
712,12/05/2017 12:53:32 PM,12/05/2017 01:00:49 PM,2,0.7,1,N,113,211,1,6,0,0.5,1,0,0.3,7.8
713,12/05/2017 12:03:00 PM,12/05/2017 12:30:45 PM,1,3.47,1,N,246,211,1,19,0,0.5,3.96,0,0.3,23.76
714,12/05/2017 12:31:32 PM,12/05/2017 01:04:47 PM,1,2.72,1,N,211,100,1,20,0,0.5,6.24,0,0.3,27.04
715,12/05/2017 12:42:33 PM,12/05/2017 12:51:55 PM,1,0.73,1,N,161,237,1,7,0,0.5,1.2,0,0.3,9
716,12/05/2017 12:53:30 PM,12/05/2017 01:01:24 PM,1,1.76,1,N,237,263,1,8,0,0.5,1,0,0.3,9.8
717,12/05/2017 12:10:15 PM,12/05/2017 12:19:39 PM,6,1.01,1,N,231,261,1,7.5,0,0.5,0.83,0,0.3,9.13
718,12/05/2017 11:59:29 AM,12/05/2017 12:00:04 PM,1,0.02,1,N,229,229,1,2.5,0,0.5,4,0,0.3,7.3
719,12/05/2017 12:07:34 PM,12/05/2017 12:18:06 PM,2,1.08,1,N,141,43,1,8,0,0.5,2.2,0,0.3,11
720,12/05/2017 12:21:09 PM,12/05/2017 12:46:14 PM,2,3.1,1,N,43,68,1,16.5,0,0.5,3.46,0,0.3,20.76
721,12/05/2017 12:18:07 PM,12/05/2017 12:24:20 PM,1,0.8,1,N,48,48,1,6,0,0.5,1,0,0.3,7.8
722,12/05/2017 12:28:08 PM,12/05/2017 12:33:00 PM,1,1.4,1,N,246,142,1,6.5,0,0.5,1,0,0.3,8.3
723,12/05/2017 12:39:48 PM,12/05/2017 12:42:46 PM,1,0.5,1,N,50,48,1,4,0,0.5,1,0,0.3,5.8
724,12/05/2017 12:11:05 PM,12/05/2017 12:24:22 PM,2,2,1,N,75,142,1,11,0,0.5,2.35,0,0.3,14.15
725,12/05/2017 12:35:51 PM,12/05/2017 12:38:22 PM,4,0.5,1,N,142,142,2,4,0,0.5,0,0,0.3,4.8
726,12/05/2017 12:39:20 PM,12/05/2017 12:49:27 PM,1,2.1,1,N,142,24,1,9.5,0,0.5,2.05,0,0.3,12.35
727,12/05/2017 12:54:18 PM,12/05/2017 01:05:58 PM,1,2.06,1,N,236,42,2,10,0,0.5,0,0,0.3,10.8
728,12/05/2017 12:35:00 PM,12/05/2017 12:45:15 PM,5,0.92,1,N,236,237,1,8,0,0.5,2.64,0,0.3,11.44
729,12/05/2017 12:56:20 PM,12/05/2017 01:01:28 PM,5,0.5,1,N,161,161,2,5,0,0.5,0,0,0.3,5.8
730,12/05/2017 12:16:43 PM,12/05/2017 12:39:33 PM,1,1.51,1,N,100,163,2,14,0,0.5,0,0,0.3,14.8
731,12/05/2017 12:46:25 PM,12/05/2017 12:52:35 PM,1,0.64,1,N,161,161,2,5.5,0,0.5,0,0,0.3,6.3
732,12/05/2017 12:53:23 PM,12/05/2017 01:01:53 PM,1,1.19,1,N,161,234,1,7.5,0,0.5,1.8,0,0.3,10.1
733,12/05/2017 12:11:04 PM,12/05/2017 12:18:48 PM,1,1.3,1,N,148,113,2,7,0,0.5,0,0,0.3,7.8
734,12/05/2017 12:21:44 PM,12/05/2017 12:57:03 PM,1,2.1,1,N,113,230,1,20.5,0,0.5,0,0,0.3,21.3
735,12/05/2017 12:26:12 PM,12/05/2017 12:29:44 PM,1,0.2,1,N,237,237,1,4,0,0.5,0.95,0,0.3,5.75
736,12/05/2017 12:31:25 PM,12/05/2017 12:53:43 PM,1,1.5,1,N,237,161,2,14,0,0.5,0,0,0.3,14.8
737,12/05/2017 12:31:43 PM,12/05/2017 12:35:35 PM,1,0.6,1,N,211,211,1,4.5,0,0.5,1.3,0,0.3,6.6
738,12/05/2017 12:38:05 PM,12/05/2017 12:59:45 PM,1,4,1,N,211,233,1,18.5,0,0.5,1,0,0.3,20.3
739,12/05/2017 12:13:05 PM,12/05/2017 12:18:28 PM,1,0.7,1,N,229,140,1,5.5,0,0.5,2,0,0.3,8.3
740,12/05/2017 12:23:49 PM,12/05/2017 12:51:20 PM,1,1.8,1,N,140,162,1,16.5,0,0.5,4.3,0,0.3,21.6
741,12/05/2017 12:25:21 PM,12/05/2017 12:31:45 PM,1,1.04,1,N,48,142,2,6.5,0,0.5,0,0,0.3,7.3
742,12/05/2017 12:32:46 PM,12/05/2017 12:32:53 PM,1,0,1,N,142,142,2,2.5,0,0.5,0,0,0.3,3.3
743,12/05/2017 12:38:18 PM,12/05/2017 01:07:26 PM,1,2.15,1,N,239,141,1,18,0,0.5,5.64,0,0.3,24.44
744,12/05/2017 12:24:48 PM,12/05/2017 12:33:33 PM,1,1.15,1,N,50,48,2,7,0,0.5,0,0,0.3,7.8
745,12/05/2017 12:40:30 PM,12/05/2017 01:17:28 PM,1,12.83,1,N,100,138,1,41,0,0.5,9.51,5.76,0.3,57.07
746,12/05/2017 12:38:23 PM,12/05/2017 01:11:50 PM,1,7.3,1,N,79,166,1,27,0,0.5,2.2,0,0.3,30
747,12/05/2017 12:18:19 PM,12/05/2017 12:34:32 PM,1,1.2,1,N,161,237,1,11,0,0.5,3.5,0,0.3,15.3
748,12/05/2017 12:39:57 PM,12/05/2017 12:55:21 PM,2,0.8,1,N,237,161,1,10.5,0,0.5,2,0,0.3,13.3
749,12/05/2017 12:59:10 PM,12/05/2017 01:29:40 PM,3,6.2,1,N,161,87,1,26,0,0.5,8,0,0.3,34.8
750,12/05/2017 12:49:58 PM,12/05/2017 01:30:23 PM,1,14.3,2,N,186,10,1,52,0,0.5,11.7,5.76,0.3,70.26
751,12/05/2017 12:26:06 PM,12/05/2017 01:06:38 PM,1,16.94,2,N,230,132,1,52,0,0.5,5,5.76,0.3,63.56
752,12/05/2017 12:52:04 PM,12/05/2017 01:03:59 PM,6,1.75,1,N,43,262,1,9.5,0,0.5,2.06,0,0.3,12.36
753,12/05/2017 12:37:39 PM,12/05/2017 01:32:09 PM,1,17.94,2,N,132,161,1,52,0,0.5,2.93,5.76,0.3,61.49
754,12/05/2017 12:00:08 PM,12/05/2017 12:31:27 PM,1,1.3,1,N,186,230,1,18,0,0.5,4.7,0,0.3,23.5
755,12/05/2017 12:48:49 PM,12/05/2017 12:52:24 PM,1,0.6,1,N,237,237,1,4.5,0,0.5,1.05,0,0.3,6.35
